jeu_100_75_2.txt_3_currentGA	jeu_100_75_2.txt_3_bestGA	
932	29756	41810	
933	-9.33333	41810	
934	41809	41810	
935	-67.3333	41810	
936	34590	41810	
937	-68.3333	41810	
938	36364	41810	
939	32907	41810	
940	36987	41810	
941	33386	41810	
942	39003	41810	
943	30503	41810	
944	-66.3333	41810	
945	30485	41810	
946	-8.33333	41810	
947	34915	41810	
948	-138.333	41810	
949	-83.3333	41810	
950	-20.3333	41810	
951	34644	41810	
952	37877	41810	
953	36919	41810	
954	-2.33333	41810	
955	27304	41810	
956	-40.3333	41810	
957	41867	41867	
958	31179	41867	
959	-47.3333	41867	
960	-47.3333	41867	
961	36957	41867	
962	-9.33333	41867	
963	33061	41867	
964	36062	41867	
965	37150	41867	
966	-22.3333	41867	
967	35573	41867	
968	-22.3333	41867	
969	30865	41867	
970	40558	41867	
971	34598	41867	
972	36062	41867	
973	29131	41867	
974	38627	41867	
975	36420	41867	
976	38333	41867	
977	37082	41867	
978	32876	41867	
979	36425	41867	
980	34785	41867	
981	41175	41867	
982	34069	41867	
983	-51.3333	41867	
984	40602	41867	
985	-3.33333	41867	
986	31211	41867	
987	37254	41867	
988	34221	41867	
989	40472	41867	
990	32679	41867	
991	32872	41867	
992	31537	41867	
993	34883	41867	
994	39827	41867	
995	32982	41867	
996	-55.3333	41867	
997	33548	41867	
998	-8.33333	41867	
999	35281	41867	
1000	41458	41867	
1001	37149	41867	
1002	-78.3333	41867	
1003	32963	41867	
1004	34593	41867	
1005	-179.333	41867	
1006	34800	41867	
1007	-29.3333	41867	
1008	34644	41867	
1009	-48.3333	41867	
1010	39280	41867	
1011	34768	41867	
1012	-27.3333	41867	
1013	-45.3333	41867	
1014	37527	41867	
1015	38327	41867	
1016	-39.3333	41867	
1017	-152.333	41867	
1018	37286	41867	
1019	37461	41867	
1020	38543	41867	
1021	-64.3333	41867	
1022	-33.3333	41867	
1023	-17.3333	41867	
1024	33393	41867	
1025	41650	41867	
1026	-100.333	41867	
1027	34859	41867	
1028	-57.3333	41867	
1029	-0.333333	41867	
1030	35552	41867	
1031	-24.3333	41867	
1032	36351	41867	
1033	34686	41867	
1034	38113	41867	
1035	-8.33333	41867	
1036	-20.3333	41867	
1037	33536	41867	
1038	31140	41867	
1039	-41.3333	41867	
1040	-83.3333	41867	
1041	-27.3333	41867	
1042	-1.33333	41867	
1043	35105	41867	
1044	38488	41867	
1045	38567	41867	
1046	32046	41867	
1047	-68.3333	41867	
1048	-65.3333	41867	
1049	36301	41867	
1050	29505	41867	
1051	30302	41867	
1052	36258	41867	
1053	-3.33333	41867	
1054	36229	41867	
1055	-21.3333	41867	
1056	-64.3333	41867	
1057	-81.3333	41867	
1058	-96.3333	41867	
1059	36853	41867	
1060	36594	41867	
1061	-62.3333	41867	
1062	-18.3333	41867	
1063	39446	41867	
1064	-23.3333	41867	
1065	-19.3333	41867	
1066	33676	41867	
1067	38384	41867	
1068	-22.3333	41867	
1069	-97.3333	41867	
1070	-95.3333	41867	
1071	-2.33333	41867	
1072	-47.3333	41867	
1073	40423	41867	
1074	-29.3333	41867	
1075	-81.3333	41867	
1076	-59.3333	41867	
1077	-11.3333	41867	
1078	36047	41867	
1079	30738	41867	
1080	-110.333	41867	
1081	-19.3333	41867	
1082	-2.33333	41867	
1083	42404	42404	
1084	38799	42404	
1085	42068	42404	
1086	36126	42404	
1087	36234	42404	
1088	35383	42404	
1089	38655	42404	
1090	36412	42404	
1091	-88.3333	42404	
1092	41061	42404	
1093	-9.33333	42404	
1094	34999	42404	
1095	31814	42404	
1096	38917	42404	
1097	-84.3333	42404	
1098	39262	42404	
1099	-35.3333	42404	
1100	37254	42404	
1101	34898	42404	
1102	33639	42404	
1103	30106	42404	
1104	-12.3333	42404	
1105	-77.3333	42404	
1106	-32.3333	42404	
1107	-1.33333	42404	
1108	40291	42404	
1109	-3.33333	42404	
1110	-39.3333	42404	
1111	-10.3333	42404	
1112	-9.33333	42404	
1113	36123	42404	
1114	37416	42404	
1115	37248	42404	
1116	-48.3333	42404	
1117	-35.3333	42404	
1118	36150	42404	
1119	-19.3333	42404	
1120	-7.33333	42404	
1121	39097	42404	
1122	34469	42404	
1123	-11.3333	42404	
1124	-30.3333	42404	
1125	-5.33333	42404	
1126	39520	42404	
1127	37558	42404	
1128	30106	42404	
1129	-16.3333	42404	
1130	34821	42404	
1131	-62.3333	42404	
1132	-28.3333	42404	
1133	39337	42404	
1134	32724	42404	
1135	39637	42404	
1136	36931	42404	
1137	36067	42404	
1138	36641	42404	
1139	36793	42404	
1140	32546	42404	
1141	37509	42404	
1142	-16.3333	42404	
1143	-29.3333	42404	
1144	34013	42404	
1145	-25.3333	42404	
1146	39615	42404	
1147	-6.33333	42404	
1148	-58.3333	42404	
1149	-8.33333	42404	
1150	33963	42404	
1151	38250	42404	
1152	34010	42404	
1153	39964	42404	
1154	34228	42404	
1155	36976	42404	
1156	35815	42404	
1157	35533	42404	
1158	-9.33333	42404	
1159	-55.3333	42404	
1160	39345	42404	
1161	-158.333	42404	
1162	-59.3333	42404	
1163	-6.33333	42404	
1164	40858	42404	
1165	39731	42404	
1166	34135	42404	
1167	-23.3333	42404	
1168	-22.3333	42404	
1169	-1.33333	42404	
1170	-21.3333	42404	
1171	-1.33333	42404	
1172	38816	42404	
1173	-24.3333	42404	
1174	37517	42404	
1175	34877	42404	
1176	-32.3333	42404	
1177	-52.3333	42404	
1178	37498	42404	
1179	38786	42404	
1180	42856	42856	
1181	-49.3333	42856	
1182	35046	42856	
1183	-58.3333	42856	
1184	36536	42856	
1185	39520	42856	
1186	-14.3333	42856	
1187	36748	42856	
1188	35970	42856	
1189	39022	42856	
1190	36573	42856	
1191	38799	42856	
1192	-16.3333	42856	
1193	33230	42856	
1194	-20.3333	42856	
1195	35999	42856	
1196	-25.3333	42856	
1197	35364	42856	
1198	-16.3333	42856	
1199	32730	42856	
1200	38307	42856	
1201	39698	42856	
1202	35020	42856	
1203	40404	42856	
1204	-75.3333	42856	
1205	36973	42856	
1206	-3.33333	42856	
1207	42474	42856	
1208	37344	42856	
1209	-6.33333	42856	
1210	-11.3333	42856	
1211	35856	42856	
1212	-51.3333	42856	
1213	-17.3333	42856	
1214	-46.3333	42856	
1215	37258	42856	
1216	37317	42856	
1217	35557	42856	
1218	38484	42856	
1219	-126.333	42856	
1220	-0.333333	42856	
1221	34953	42856	
1222	-21.3333	42856	
1223	37873	42856	
1224	39977	42856	
1225	36708	42856	
1226	41039	42856	
1227	41121	42856	
1228	36675	42856	
1229	-67.3333	42856	
1230	34586	42856	
1231	39916	42856	
1232	37085	42856	
1233	-20.3333	42856	
1234	36418	42856	
1235	39695	42856	
1236	-1.33333	42856	
1237	-19.3333	42856	
1238	37493	42856	
1239	40213	42856	
1240	-77.3333	42856	
1241	40222	42856	
1242	-15.3333	42856	
1243	-20.3333	42856	
1244	35823	42856	
1245	31675	42856	
1246	-15.3333	42856	
1247	-82.3333	42856	
1248	35279	42856	
1249	-1.33333	42856	
1250	37035	42856	
1251	36991	42856	
1252	42086	42856	
1253	37506	42856	
1254	-34.3333	42856	
1255	37260	42856	
1256	-46.3333	42856	
1257	40863	42856	
1258	37022	42856	
1259	-29.3333	42856	
1260	34905	42856	
1261	-60.3333	42856	
1262	-64.3333	42856	
1263	38360	42856	
1264	-73.3333	42856	
1265	-55.3333	42856	
1266	43498	43498	
1267	37516	43498	
1268	-11.3333	43498	
1269	33981	43498	
1270	36870	43498	
1271	36914	43498	
1272	-88.3333	43498	
1273	37124	43498	
1274	39453	43498	
1275	34738	43498	
1276	37883	43498	
1277	36095	43498	
1278	-31.3333	43498	
1279	-54.3333	43498	
1280	38014	43498	
1281	37238	43498	
1282	39361	43498	
1283	-25.3333	43498	
1284	36557	43498	
1285	43750	43750	
1286	-19.3333	43750	
1287	40835	43750	
1288	-8.33333	43750	
1289	37547	43750	
1290	43242	43750	
1291	-26.3333	43750	
1292	38399	43750	
1293	43440	43750	
1294	39536	43750	
1295	-38.3333	43750	
1296	36547	43750	
1297	33580	43750	
1298	42053	43750	
1299	36478	43750	
1300	35087	43750	
1301	-1.33333	43750	
1302	-7.33333	43750	
1303	35843	43750	
1304	38490	43750	
1305	39376	43750	
1306	37732	43750	
1307	-0.333333	43750	
1308	-45.3333	43750	
1309	-56.3333	43750	
1310	-55.3333	43750	
1311	38446	43750	
