jeu_100_75_2.txt_5_bestGAPerIt	jeu_100_75_2.txt_5_popMeanGA	jeu_100_75_2.txt_5_offMeanGA	
266	35317	28816.4	28805.1	
267	35317	28805.1	28241.6	
268	35317	28241.6	31762.2	
269	35317	31762.2	31679.7	
270	35317	31679.7	30466	
271	35317	30466	28795.9	
272	35317	28795.9	25846.5	
273	35317	25846.5	25845.9	
274	35317	25845.9	30561.9	
275	35317	30561.9	25300.1	
276	35317	25300.1	28805.8	
277	35317	28805.8	27053.8	
278	35317	27053.8	31145.7	
279	35317	31145.7	28777.3	
280	35317	28777.3	27578.3	
281	35317	27578.3	26440.7	
282	35317	26440.7	29350.4	
283	35317	29350.4	27659.7	
284	35317	27659.7	30548.3	
285	35317	30548.3	29394.1	
286	35317	29394.1	29949.7	
287	35317	29949.7	31172.7	
288	35317	31172.7	29384.8	
289	35317	29384.8	28816.4	
290	35317	28816.4	27589.9	
291	35317	27589.9	27056.6	
292	35317	27056.6	28187.8	
293	35317	28187.8	28774.6	
294	35317	28774.6	25847.6	
295	35317	25847.6	29341	
296	35317	29341	31139.7	
297	35317	31139.7	27627.2	
298	35317	27627.2	30568.9	
299	35317	30568.9	24665	
300	35317	24665	29973.4	
301	35317	29973.4	29384.5	
302	35317	29384.5	27071	
303	35317	27071	28815.5	
304	35317	28815.5	28194.2	
