jeu_200_25_8.txt_5_currentSA	jeu_200_25_8.txt_5_bestSA	jeu_200_25_8.txt_5_currentTS	jeu_200_25_8.txt_5_bestTS	jeu_200_25_8.txt_5_currentGrasp	jeu_200_25_8.txt_5_bestGrasp	jeu_200_25_8.txt_5_currentIG	jeu_200_25_8.txt_5_bestIG	
188	-189.84	-176.84	52167	52711	69368	69368	10861	70912	
189	-189.84	-176.84	52167	52711	69377	69377	11296	70912	
190	-189.84	-176.84	52167	52711	69499	69499	11796	70912	
191	-189.84	-176.84	52167	52711	37	69499	12296	70912	
192	-189.84	-176.84	52167	52711	106	69499	12793	70912	
193	-189.84	-176.84	52167	52711	181	69499	13645	70912	
194	-161.84	-161.84	52167	52711	328	69499	14233	70912	
195	-138.84	-138.84	52167	52711	411	69499	14657	70912	
196	-109.84	-109.84	52167	52711	501	69499	14974	70912	
197	-144.84	-109.84	52167	52711	703	69499	15461	70912	
198	-144.84	-109.84	52167	52711	893	69499	15830	70912	
199	-144.84	-109.84	52167	52711	1148	69499	16514	70912	
200	-155.84	-109.84	52167	52711	1283	69499	17212	70912	
201	-155.84	-109.84	52167	52711	1549	69499	18229	70912	
202	-155.84	-109.84	52167	52711	1798	69499	18851	70912	
203	-155.84	-109.84	52167	52711	2014	69499	19558	70912	
204	-155.84	-109.84	52167	52711	2429	69499	20427	70912	
205	-155.84	-109.84	52167	52711	2752	69499	21076	70912	
206	-155.84	-109.84	52167	52711	2882	69499	21637	70912	
207	-155.84	-109.84	52167	52711	3097	69499	22422	70912	
208	-155.84	-109.84	52167	52711	3303	69499	23441	70912	
209	-155.84	-109.84	52167	52711	3669	69499	24013	70912	
210	-155.84	-109.84	52167	52711	3848	69499	24632	70912	
211	-189.84	-109.84	52167	52711	4186	69499	25172	70912	
212	-227.84	-109.84	52167	52711	4610	69499	26032	70912	
213	-195.84	-109.84	52167	52711	4959	69499	26844	70912	
214	-195.84	-109.84	52167	52711	5336	69499	27617	70912	
215	-195.84	-109.84	52167	52711	5688	69499	28143	70912	
216	-197.84	-109.84	52167	52711	5824	69499	29084	70912	
217	-197.84	-109.84	52167	52711	6313	69499	30077	70912	
218	-197.84	-109.84	52167	52711	6867	69499	30740	70912	
219	-189.84	-109.84	52167	52711	7413	69499	31604	70912	
220	-189.84	-109.84	52167	52711	7876	69499	32588	70912	
221	-189.84	-109.84	52167	52711	8159	69499	33674	70912	
222	-189.84	-109.84	52167	52711	8511	69499	34731	70912	
223	-189.84	-109.84	52167	52711	8884	69499	35522	70912	
224	-189.84	-109.84	52167	52711	9409	69499	36434	70912	
225	-189.84	-109.84	52167	52711	10263	69499	37353	70912	
226	-177.84	-109.84	52167	52711	10855	69499	38052	70912	
227	-177.84	-109.84	52167	52711	11325	69499	39064	70912	
228	-177.84	-109.84	52167	52711	11761	69499	40103	70912	
229	-177.84	-109.84	52167	52711	12174	69499	41094	70912	
230	-180.84	-109.84	52167	52711	12600	69499	41662	70912	
231	-180.84	-109.84	52167	52711	13238	69499	42880	70912	
232	-180.84	-109.84	52167	52711	14016	69499	43810	70912	
233	-180.84	-109.84	52167	52711	14614	69499	45016	70912	
234	-180.84	-109.84	52167	52711	14977	69499	46316	70912	
235	-180.84	-109.84	52167	52711	15507	69499	47287	70912	
236	-180.84	-109.84	52167	52711	15999	69499	48569	70912	
237	-180.84	-109.84	52167	52711	16715	69499	48821	70912	
238	-180.84	-109.84	52167	52711	17422	69499	49187	70912	
239	-180.84	-109.84	52167	52711	18063	69499	49644	70912	
240	-203.84	-109.84	52167	52711	18849	69499	49972	70912	
241	-203.84	-109.84	52167	52711	19866	69499	50320	70912	
242	-203.84	-109.84	52167	52711	20705	69499	50723	70912	
243	-203.84	-109.84	52167	52711	21296	69499	51259	70912	
244	-175.84	-109.84	52167	52711	22144	69499	51610	70912	
245	-175.84	-109.84	52167	52711	22913	69499	51949	70912	
246	-175.84	-109.84	52167	52711	23703	69499	52503	70912	
